1,11.62,0,3.82,120,14.3,-120
2,0.004,0,0.002,120,0.006,-120
3,0.185,0,0.146,120,0.287,-120
4,0.002,0,0.002,120,0.005,-120
5,0.433,0,0.188,120,0.432,-120
6,0.002,0,0.001,120,0.003,-120
7,0.194,0,0.115,120,0.146,-120
8,0.003,0,0.001,120,0.003,-120
9,0.25,0,0.125,120,0.081,-120
10,0.002,0,0.001,120,0.004,-120
11,0.014,0,0.024,120,0.101,-120
12,0.002,0,0.001,120,0.003,-120
13,0.036,0,0.022,120,0.103,-120
14,0.002,0,0.002,120,0.004,-120
15,0.062,0,0.023,120,0.083,-120
16,0.003,0,0.001,120,0.003,-120
17,0.069,0,0.029,120,0.059,-120
