1,119.12,0,120.14,120,118.99,-120
2,0.013,0,0.02,120,0.022,-120
3,0.135,0,0.238,120,0.203,-120
4,0.031,0,0.029,120,0.032,-120
5,2.391,0,2.338,120,2.424,-120
6,0.022,0,0.022,120,0.024,-120
7,0.585,0,0.629,120,0.683,-120
8,0.022,0,0.029,120,0.018,-120
9,0.071,0,0.048,120,0.146,-120
10,0.022,0,0.028,120,0.022,-120
11,0.319,0,0.215,120,0.316,-120
12,0.025,0,0.03,120,0.018,-120
13,0.257,0,0.148,120,0.245,-120
14,0.019,0,0.021,120,0.027,-120
15,0.043,0,0.055,120,0.061,-120
16,0.025,0,0.019,120,0.023,-120
17,0.248,0,0.185,120,0.058,-120
